timeSeries,lon,lat
"796",-153.90935,57.05651
"797",-153.57901,57.05582
"798",-153.28171,57.05444
"799",-153.19914,57.05393
"818",-154.48756,57.064533
"819",-153.8928,57.06546
"820",-153.29805,57.06349
"838",-154.48769,57.073494
"839",-153.95888,57.07446
"840",-153.89278,57.074417
"841",-153.66133,57.082954
"842",-153.64499,57.06499
"843",-153.62846,57.06494
"844",-153.61194,57.06489
"845",-153.59541,57.06484
"846",-153.5789,57.06478
"847",-153.36382,57.08177
"848",-153.3144,57.072544
"849",-153.21507,57.08091
"867",-154.48781,57.082455
"868",-153.94232,57.09237
"869",-153.87622,57.083363
"870",-153.47939,57.091278
"871",-153.38034,57.081856
"872",-153.34712,57.090645
"873",-153.2977,57.08141
"895",-154.48793,57.09141
"896",-153.92577,57.10132
"897",-153.90924,57.101307
"898",-153.8597,57.083344
"899",-153.66125,57.091915
"900",-153.6281,57.100777
"901",-153.49593,57.091347
"902",-153.46286,57.091206
"903",-153.38019,57.090816
"904",-153.33043,57.099514
"905",-153.28099,57.090275
"906",-153.18161,57.09861
"936",-154.48805,57.100372
"937",-153.84312,57.09228
"938",-153.81001,57.101196
"939",-153.61147,57.109684
"940",-153.59491,57.10963
"941",-153.57837,57.109577
"942",-153.56183,57.10952
"943",-153.54529,57.10946
"944",-153.5122,57.10933
"945",-153.47926,57.100235
"946",-153.3635,57.09969
"947",-153.29718,57.108288
"948",-153.14832,57.10734
"949",-153.09871,57.106987
"985",-154.48817,57.10933
"986",-153.89264,57.119213
"987",-153.80997,57.110153
"988",-153.3468,57.108562
"989",-153.16466,57.116413
"990",-153.13156,57.116184
"991",-153.11502,57.116066
"992",-153.08194,57.11582
"1021",-154.48842,57.127247
"1022",-153.87607,57.128155
"1023",-153.84297,57.128117
"1024",-153.79337,57.119087
"1025",-153.49554,57.11822
"1026",-153.34648,57.126476
"1027",-153.31355,57.11734
"1028",-153.06516,57.124657
"1054",-154.50497,57.12718
"1055",-153.85948,57.137096
"1056",-153.82637,57.137054
"1057",-153.77676,57.128014
"1058",-153.44577,57.12697
"1059",-153.42908,57.13585
"1060",-153.34631,57.135437
"1061",-153.31339,57.126297
"1062",-153.04837,57.133488
"1087",-154.48854,57.136204
"1088",-153.80977,57.14599
"1089",-153.76016,57.136944
"1090",-153.49542,57.127182
"1091",-153.41238,57.14473
"1092",-153.36287,57.135525
"1093",-153.03159,57.142315
"1094",-152.96536,57.141773
"1095",-152.9488,57.141636
"1096",-152.93225,57.14149
"1097",-152.9157,57.141346
"1098",-152.89914,57.141197
"1128",-154.48878,57.15412
"1129",-153.7436,57.13691
"1130",-153.71034,57.15475
"1131",-153.51184,57.136208
"1132",-153.4455,57.144882
"1133",-153.34615,57.144394
"1134",-153.0647,57.14257
"1135",-153.01479,57.151142
"1136",-152.98192,57.141914
"1137",-152.88231,57.150005
"1159",-154.50536,57.154053
"1160",-153.80968,57.163906
"1161",-153.72691,57.15479
"1162",-153.44536,57.153843
"1163",-153.39552,57.162563
"1164",-153.31287,57.15317
"1165",-153.19695,57.15247
"1166",-153.08102,57.151653
"1167",-152.99797,57.159966
"1168",-152.86548,57.158813
"1190",-154.4889,57.16308
"1191",-153.74335,57.172745
"1192",-153.47821,57.1719
"1193",-153.44508,57.171757
"1194",-153.3788,57.17144
"1195",-153.29631,57.153076
"1196",-153.19673,57.161427
"1197",-153.1634,57.170162
"1198",-153.08057,57.16957
"1199",-153.04767,57.16036
"1230",-154.48903,57.17204
"1231",-153.75986,57.181736
"1232",-153.27956,57.16194
"1233",-153.17976,57.179234
"1234",-153.1632,57.17912
"1235",-153.03085,57.16919
"1236",-152.84862,57.167614
"1261",-154.48927,57.189953
"1262",-153.36191,57.18927
"1263",-153.2792,57.179855
"1264",-153.11348,57.178772
"1265",-153.06352,57.18736
"1266",-153.03061,57.178146
"1267",-152.89832,57.16807
